enemy0_champion,enemy1_champion,enemy2_champion,enemy3_champion,enemy4_champion,gameId,teammate0_champion,teammate0_championDaysSinceLastPlayed,teammate0_championPoints,teammate0_playerPastWeekLoseStreak,teammate0_playerPastWeekWinRate,teammate1_champion,teammate1_championDaysSinceLastPlayed,teammate1_championPoints,teammate1_playerPastWeekLoseStreak,teammate1_playerPastWeekWinRate,teammate2_champion,teammate2_championDaysSinceLastPlayed,teammate2_championPoints,teammate2_playerPastWeekLoseStreak,teammate2_playerPastWeekWinRate,teammate3_champion,teammate3_championDaysSinceLastPlayed,teammate3_championPoints,teammate3_playerPastWeekLoseStreak,teammate3_playerPastWeekWinRate,teammate4_champion,teammate4_championDaysSinceLastPlayed,teammate4_championPoints,teammate4_playerPastWeekLoseStreak,teammate4_playerPastWeekWinRate,win
35,63,9,202,58,2770079314,40,519,2166,3,0.30303030303030304,7,0,109860,2,0.4444444444444444,122,3,103711,4,0.1794871794871795,81,0,79099,4,0.35,28,70,22347,3,0.24324324324324326,False
2,110,25,161,39,2770084714,24,541,12084,3,0.39285714285714285,63,46,6437,3,0.2972972972972973,81,0,79099,4,0.3684210526315789,157,56,222371,2,0.2653061224489796,141,541,5319,4,0.23529411764705882,False
89,55,24,19,81,2770117995,16,3,48778,6,0.3333333333333333,2,454,12550,4,0.42105263157894735,98,12,66914,4,0.1794871794871795,18,432,66963,4,0.2857142857142857,110,84,54474,5,0.20588235294117646,False
50,64,18,63,55,2770147645,62,8,2061182,2,0.4444444444444444,43,86,20324,4,0.21052631578947367,81,0,79099,4,0.3181818181818182,161,0,1250026,4,0.3235294117647059,164,28,22243,3,0.36363636363636365,True
121,44,29,150,112,2770185153,81,0,79099,4,0.2608695652173913,41,2,12106,2,0.3333333333333333,57,0,98624,2,0.4,201,22,27375,1,0.0,23,0,1250833,3,0.4,False
50,143,81,31,79,2770196792,25,538,8814,4,0.19696969696969696,240,408,1120881,3,0.25,35,0,309957,1,0.75,61,403,428983,2,0.6666666666666666,67,410,123600,4,0.2916666666666667,True
8,4,67,24,412,2770218037,121,59,151228,2,0.5,40,2,383418,5,0.3333333333333333,18,432,66963,4,0.28,99,1,370999,1,0.75,23,23,362295,1,0.7777777777777778,True
84,24,58,117,119,2770247037,18,432,66963,4,0.3076923076923077,105,0,578908,4,0.5652173913043478,39,386,103721,2,0.42857142857142855,5,510,76147,2,0.7,25,5,774904,4,0.23404255319148937,True
18,141,69,117,24,2770266815,103,83,29200,4,0.24,15,44,39014,4,0.2962962962962963,23,480,27061,4,0.5,35,487,13283,5,0.4444444444444444,63,434,43846,3,0.125,True
81,10,25,98,9,2770548418,48,60,178996,4,0.2,83,0,335796,4,0.1527777777777778,412,37,167981,2,0.7222222222222222,202,422,47207,4,0.27586206896551724,8,33,41023,0,1.0,True
51,54,43,48,53,2770553189,143,80,1639846,2,0.5,516,0,80323,2,0.3333333333333333,5,540,39324,2,0.5,18,432,66963,4,0.2857142857142857,131,20,212738,4,0.5,False
498,117,154,7,150,2770680925,18,432,66963,3,0.3,25,527,8163,2,0.75,105,482,37067,2,0.5555555555555556,57,136,12267,2,0.3333333333333333,20,461,60462,2,0.28888888888888886,True
143,19,22,34,17,2770689782,8,0,510255,2,0.3333333333333333,154,74,16319,1,0.8571428571428571,150,32,422384,2,0.2916666666666667,18,432,66963,3,0.3225806451612903,267,0,174699,3,0.5454545454545454,True
107,25,81,27,24,2770696929,43,114,22714,3,0.36,126,16,80403,3,0.34615384615384615,11,0,1043497,2,0.30952380952380953,201,495,125000,3,0.13043478260869565,67,410,123600,3,0.34375,True
67,126,64,8,40,2770724053,53,22,206671,6,0.25,83,69,69787,3,0.42857142857142855,157,5,110515,3,0.36363636363636365,163,5,163759,3,0.2857142857142857,18,432,66963,3,0.3333333333333333,False
101,254,67,412,41,2770749121,18,432,66963,3,0.3235294117647059,50,4,198325,1,0.7692307692307693,89,76,61788,2,0.4666666666666667,238,238,122218,7,0.24242424242424243,421,0,1003592,5,0.10126582278481013,True
54,64,34,37,81,2771308369,23,2,32609,2,0.3333333333333333,48,387,42812,4,0.5,238,106,216805,1,0.42857142857142855,20,515,8822,3,0.13095238095238096,18,432,66963,3,0.3142857142857143,False
497,105,222,27,48,2771343506,245,519,12313,2,0.5,203,73,759828,5,0.2,25,431,9100,3,0.3055555555555556,23,56,77970,3,0.3235294117647059,119,539,19715,3,0.5,False
64,145,44,54,61,2771349378,432,432,17505,2,0.2459016393442623,101,539,4851,2,0.52,56,7,51696,2,0.6,18,432,66963,3,0.32432432432432434,157,81,1552338,2,0.27450980392156865,True
222,24,40,8,27,2771375461,18,432,66963,3,0.3157894736842105,35,1,86138,6,0.10294117647058823,105,407,20051,4,0.23076923076923078,143,1,304509,4,0.3142857142857143,266,530,145449,3,0.5,True
5,44,110,45,267,2771390515,18,432,66963,2,0.3333333333333333,60,390,340468,4,0.4166666666666667,131,53,626353,3,0.2916666666666667,16,487,166283,3,0.5,54,539,10442,2,0.6666666666666666,True
122,20,16,222,268,2771832446,133,538,14266,2,0.7857142857142857,40,26,118083,5,0.4375,18,432,66963,2,0.35,34,114,13104,2,0.5,48,502,10262,5,0.07792207792207792,True
157,24,79,161,202,2844530477,81,0,79099,0,1.0,104,51,56232,2,0.6666666666666666,150,104,18204,1,0.4411764705882353,240,431,4446,4,0.34285714285714286,45,432,24284,3,0.375,True
92,59,429,2,61,2844556268,101,76,179596,2,0.3333333333333333,85,58,50359,0,1.0,104,51,56232,2,0.7,9,391,42824,2,0.7,21,27,53705,1,0.75,True
266,99,11,22,201,2844571518,161,48,116024,2,0.7647058823529411,38,34,102596,2,0.2647058823529412,85,58,50359,0,1.0,104,51,56232,2,0.7272727272727273,21,11,276236,9,0.3888888888888889,True
122,99,142,59,222,2844577828,85,58,50359,0,1.0,80,420,9400,2,0.75,497,11,45259,1,0.8333333333333334,105,84,63611,1,0.75,202,37,282644,8,0.24,True
127,202,6,11,12,2844689163,103,6,77777,2,0.65,164,58,43690,3,0.34210526315789475,555,14,12258,0,1.0,104,51,56232,2,0.7857142857142857,17,45,1243151,2,0.5,True
63,37,86,21,24,2844716541,12,389,6819,2,0.5,22,0,337587,6,0.15789473684210525,85,58,50359,1,0.8333333333333334,104,51,56232,2,0.7333333333333333,157,0,332116,4,0.3333333333333333,False
37,236,41,48,69,2844753115,81,5,230589,3,0.46153846153846156,38,131,38497,2,0.0,164,386,36604,3,0.3333333333333333,53,0,64796,2,0.7142857142857143,104,51,56232,2,0.6875,False
163,202,143,36,45,2844787650,555,14,12258,4,0.5555555555555556,80,420,9400,4,0.6111111111111112,103,39,18917,4,0.4444444444444444,10,423,210983,6,0.3,110,93,30992,2,0.6666666666666666,False
236,103,412,64,23,2844790287,161,18,12905,5,0.21052631578947367,238,393,24149,2,0.391304347826087,245,424,12954,2,0.38461538461538464,18,432,66963,3,0.625,80,420,9400,3,0.6470588235294118,False
